Run,Event,E,px,py,pz,pt,eta,phi,Q,MET,phiMET
146944,493287558,52.7328552516,16.1026034006,26.6629011425,42.5504256817,31.1481,1.1181,1.02749,-1,28.8198,-1.98825
146944,493440686,146.362152283,-41.3920624335,-46.3069848458,132.53010518,62.1099,1.50192,-2.30021,1,45.4407,2.24016
146944,374923341,62.9767029281,42.8985240634,-4.47885901488,-45.888020257,43.1317,-0.925847,-0.104029,-1,39.237,-2.9873
146944,374915703,36.3286052455,-22.7959833909,24.8865052235,-13.4447534151,33.749,-0.388526,2.31238,1,30.4998,-0.813102
146944,375370168,116.499590783,-17.901237559,-26.7600888118,111.962434904,32.1956,1.95954,-2.16038,-1,27.9526,0.602699
146944,375896184,33.2313450856,29.4324279153,-2.7260222981,-15.1859185414,29.5584,-0.493485,-0.0923562,-1,48.1256,3.04862
146944,376986094,38.5721889217,-23.3568466649,-25.1653532363,-17.5774089355,34.3342,-0.491875,-2.31894,1,38.4906,0.907212
146944,376799359,48.768445231,0.150368954157,27.7618927753,-40.0949471289,27.7623,-1.16342,1.56538,1,28.1731,-1.55835
146944,377047688,45.6066321693,31.1353057968,-5.11153082282,32.9305135053,31.5521,0.91193,-0.16272,-1,57.9549,3.04499
146944,377729473,54.36221787,8.92524573259,41.375805066,34.1119086509,42.3275,0.737272,1.35834,-1,41.6433,-1.82208
146944,378621571,33.1963137782,-0.387258308654,33.1721396109,-1.20136148305,33.1744,-0.0362056,1.58247,1,62.9736,-1.77741
146944,379609259,78.5781985238,30.6266612834,-71.7723202518,-9.23383906442,78.0337,-0.118057,-1.16747,1,21.9953,1.37318
146944,380662233,30.9104175463,-22.264808237,17.5029052154,-12.3842388698,28.3209,-0.424425,2.47537,1,32.9458,-0.759908
146944,380351647,76.9135745273,8.19473889115,43.1974823909,-63.1071355115,43.9679,-1.15833,1.38332,-1,51.2509,-1.20064
146944,381259055,58.4082491164,28.5399193019,-34.1203956403,-37.8521334767,44.4829,-0.771951,-0.874223,1,22.0128,2.35806
146944,381191968,61.4400338755,-46.586440204,12.7690105807,-37.9673880698,48.3047,-0.721697,2.87407,-1,53.6985,-0.712666
146944,381742961,30.7370254558,1.03414594062,30.6967852358,-1.17961372534,30.7142,-0.0383967,1.53712,-1,44.5214,-1.68033
146944,382679076,108.350850374,12.2228553323,41.5508184662,99.3178075948,43.3113,1.56753,1.2847,-1,45.6749,-2.03344
146944,381655325,99.9011464691,31.6677455263,24.3844809436,-91.5575168107,39.9681,-1.56659,0.656185,1,38.2672,-2.22674
146944,381719120,167.123810082,14.6754141937,-45.7749659121,-160.061367752,48.0699,-1.91787,-1.26055,1,44.1179,1.77612
146944,385957884,71.4946106341,-17.0155226498,-25.6854124552,64.5151126636,30.8102,1.48488,-2.15588,-1,25.6696,0.751576
146944,386393988,138.619194046,27.755488709,30.1458448516,132.42405627,40.9773,1.88926,0.826658,1,40.0228,-2.52886
146944,385876128,37.4712825481,-13.3482448867,34.9892050446,1.29063585037,37.4489,0.0344571,1.93525,1,32.178,-0.966813
146944,388246241,98.9885768546,10.6391349699,-58.9327577859,-78.8191984916,59.8854,-1.08827,-1.39219,1,41.7445,1.45571
146944,387320018,38.5299662809,-5.06917881881,34.8574331659,-15.6144137613,35.2241,-0.429921,1.71521,-1,35.786,-1.42273
146944,388665387,49.6019813254,-2.22677786716,-33.9564651383,36.088021882,34.0294,0.92351,-1.63628,1,41.4134,1.42834
146944,388671531,72.8481597181,3.68839711365,-36.5965011216,-62.8803231784,36.7819,-1.30565,-1.47035,1,37.3427,1.60249
146944,387312405,105.524047483,-13.5474968422,35.5136287546,-98.4406467647,38.0099,-1.6801,1.93523,-1,45.2477,-1.67603
146944,387431926,37.9496211817,-27.1568406214,-23.6914899789,11.8904118594,36.0386,0.324225,-2.42424,1,43.3174,0.558902
146944,387520584,72.5056535667,-49.3022884977,8.34651803603,-52.5040819462,50.0038,-0.916292,2.97389,1,33.1721,-0.0300311
146944,389200809,34.7639307555,-2.86221857655,30.13568165,-17.0929258523,30.2713,-0.538284,1.66549,1,32.2171,-2.53659
146944,371253090,36.832884304,2.29923489212,-36.2362285803,6.18865572232,36.3091,0.169629,-1.50743,-1,40.4091,1.74812
146944,371450974,77.6842840635,2.30079643027,-29.179732656,71.9589213697,29.2703,1.63168,-1.49211,1,31.9605,1.49933
146944,371065584,64.8856594816,-37.1747445274,28.0616339211,45.1743368924,46.577,0.859918,2.49499,-1,31.2582,-0.867786
146944,371342488,35.6444912533,16.7334321451,19.2118519382,24.9282086554,25.4775,0.866046,0.854239,1,39.6534,-1.933
146944,372337970,35.102780433,-9.04094039696,-33.7798515417,3.06219806586,34.9688,0.0874579,-1.83231,-1,42.5644,1.14682
146944,373010234,40.2187650438,-22.346791762,32.5186095057,7.79094549551,39.4568,0.196194,2.17288,1,36.0375,-0.937494
146944,372596869,122.525816958,-17.3501534372,-31.3871890309,117.159639799,35.8634,1.89961,-2.07577,1,25.0329,1.48485
146944,372646885,45.8425180472,-11.764467545,-41.5205968092,15.4648841318,43.1551,0.351098,-1.8469,1,33.3709,1.08829
146944,373329337,32.9230341003,7.50497400146,26.7604307822,-17.6485047601,27.7929,-0.598605,1.29737,-1,36.4168,-1.47234
146944,373363301,89.0795128319,27.9099923632,-35.9917584786,76.5556927379,45.5453,1.29108,-0.911202,1,26.1696,1.67788
146944,373302942,116.66189584,14.0401034078,-31.1883610456,-111.53541325,34.2029,-1.8979,-1.1478,1,30.4896,2.02622
146944,374234383,77.2911096672,-44.1405605738,-23.9425881024,58.7560027323,50.2159,0.996669,-2.64459,1,29.0475,0.431159
146944,108469900,47.0911407074,1.83069658794,39.9380639241,-24.8830056351,39.98,-0.587926,1.52499,1,47.2253,-1.80609
146944,107557845,28.4040729619,-23.6285722628,-11.5770334763,-10.6978065904,26.3123,-0.396129,-2.68601,1,54.8253,0.496538
146944,109019570,35.9296856296,10.9748417438,34.0611511264,3.21278358949,35.7856,0.0896585,1.25909,-1,40.6325,-1.81541
146944,111293264,53.1712335996,-35.6649877459,22.6790404137,-32.2620317682,42.265,-0.703775,2.5752,1,23.6962,-0.95454
146944,110239978,35.259082311,12.0123889893,33.0016649092,-3.12799388036,35.1199,-0.0889488,1.22171,1,31.0308,-2.09635
146944,110425594,70.2718721122,-2.09125570977,25.6648397534,65.3840003094,25.7499,1.66169,1.6521,1,36.7205,-1.50478
146944,111310827,33.8381851861,33.2753223264,6.00429890703,-1.30879016968,33.8127,-0.0386974,0.178522,-1,31.7262,-2.98191
146944,112365884,34.9541561517,32.0240954717,-13.7910439046,2.45891964582,34.8674,0.0704637,-0.406643,1,41.6045,2.35212
146944,112800006,90.507228317,-35.6675260359,-1.74527090168,83.1644685542,35.7102,1.58173,-3.0927,-1,47.8696,0.510962
146944,113350153,72.2767958794,-31.0144233707,12.1030071583,64.1525277725,33.2923,1.41048,2.76953,1,37.1751,-0.46351
146944,113409193,34.2376117619,-8.84118400424,28.3946030443,-16.9641645484,29.7392,-0.543305,1.87265,1,42.6511,-1.13709
146944,113323702,63.7011599707,-2.83254174937,-34.0800902727,-53.7433788681,34.1976,-1.23381,-1.65372,-1,40.6259,1.39881
146944,114459687,58.9887330907,24.0664038524,29.0673703128,-45.3382361441,37.7373,-1.01688,0.879242,1,35.9508,-2.12419
146944,113966768,136.20773853,29.7332386319,23.2052575799,-130.881577821,37.7167,-1.95748,0.662705,1,44.7663,-2.3644
146944,114481568,42.4781151479,29.099131904,-27.7910995472,13.6115543278,40.2381,0.332135,-0.76241,-1,32.0894,1.85755
146944,114837578,60.5936871044,26.2646280905,-1.22113073372,54.5917750601,26.293,1.47724,-0.0464599,-1,50.6055,2.94135
146944,115905910,100.746472846,-25.5851815534,14.8304777458,96.3083383817,29.5727,1.89663,2.61627,1,38.8052,-0.617605
146944,115900991,58.7602275684,-7.97201394379,29.9622832202,49.9145445547,31.0047,1.25422,1.83084,1,27.8144,-1.37343
146944,115180352,30.2932702009,-9.94458686417,-23.9261196677,15.6944909292,25.9105,0.573723,-1.96471,-1,71.2588,-0.0141502
146944,116354934,97.2577148063,41.099481765,-26.3101463109,-84.1288340903,48.7995,-1.31291,-0.569425,-1,29.2277,2.31258
146944,117670494,46.6478660735,43.2231669045,15.4295869002,8.34852899392,45.8946,0.180918,0.342875,-1,49.1291,-2.7741
146944,117368815,127.100226688,-13.2539368696,41.8680146066,119.272205357,43.9158,1.72457,1.87738,1,37.502,-1.41466
146944,116402000,79.3328982195,-44.4330996078,5.1312206933,-65.5215064667,44.7284,-1.17512,3.02662,1,41.5245,-0.0537497
146944,117030705,40.1309953995,-17.938579979,-35.8775129737,1.22353554159,40.1122,0.0304981,-2.03444,-1,34.6,0.912284
146944,119113900,69.8175903333,-32.4076292358,7.11650864943,61.4295175646,33.1798,1.37514,2.92543,1,33.2403,0.0163434
146944,118719317,50.3931275414,-28.0530190174,-3.60889091705,-41.7068360114,28.2842,-1.18057,-3.01365,1,23.1089,-0.312201
146944,118510854,125.054796542,-36.2579015162,20.4038143427,117.931081197,41.6047,1.76479,2.62902,-1,39.0226,-0.669593
